pubchem_cid,sample,drug_name,label
864,C-33-A,alpha-lipoic acid,0.7847906195653045
864,C-4-I,alpha-lipoic acid,0.7219115947690078
864,CAL-39,alpha-lipoic acid,0.7828150860025604
864,Ca-Ski,alpha-lipoic acid,0.7774528263605297
864,DoTc2-4510,alpha-lipoic acid,0.8044436438675852
864,HT-3,alpha-lipoic acid,0.7159729956095704
864,HeLa,alpha-lipoic acid,0.6869166772021233
864,ME-180,alpha-lipoic acid,0.8026058806080462
864,MS751,alpha-lipoic acid,0.7603233948560995
864,SISO,alpha-lipoic acid,0.7358697056345027
864,SKG-IIIa,alpha-lipoic acid,0.8382493087141623
864,SW756,alpha-lipoic acid,0.8548630421523443
864,SiHa,alpha-lipoic acid,0.8029239900885093
1401,C-33-A,PD173074,0.5792479694902143
1401,C-4-I,PD173074,0.5973342959190413
1401,CAL-39,PD173074,0.5377938521601499
1401,Ca-Ski,PD173074,0.5338316394778023
1401,DoTc2-4510,PD173074,0.5456147238586097
1401,HT-3,PD173074,0.6653147936009098
1401,HeLa,PD173074,0.6212107680219223
1401,ME-180,PD173074,0.6082632952457425
1401,MS751,PD173074,0.6014447255876876
1401,OMC-1,PD173074,0.624885213929889
1401,SISO,PD173074,0.6458786818578526
1401,SKG-IIIa,PD173074,0.6979235474568226
1401,SW756,PD173074,0.7330888899063989
1401,SiHa,PD173074,0.6230743699320364
2332,C-33-A,BEN,0.664262514523362
2332,C-4-I,BEN,0.6795796026004495
2332,CAL-39,BEN,0.4062641531960263
2332,Ca-Ski,BEN,0.5661168606130671
2332,DoTc2-4510,BEN,0.7201665694528623
2332,HT-3,BEN,0.48098090216046063
2332,HeLa,BEN,0.6523963189513109
2332,ME-180,BEN,0.5397143096643114
2332,MS751,BEN,0.6445216049353754
2332,SISO,BEN,0.582229795781446
2332,SKG-IIIa,BEN,0.630789999436679
2332,SW756,BEN,0.6700685298171664
2332,SiHa,BEN,0.7351479282859222
2375,C-33-A,Bicalutamide,0.5049562415041872
2375,C-4-I,Bicalutamide,0.5164352744665875
2375,CAL-39,Bicalutamide,0.5021025629122302
2375,Ca-Ski,Bicalutamide,0.5185727702412506
2375,DoTc2-4510,Bicalutamide,0.5036328876311786
2375,HT-3,Bicalutamide,0.36747427241824815
2375,HeLa,Bicalutamide,0.4937228014841152
2375,ME-180,Bicalutamide,0.5116523473833197
2375,MS751,Bicalutamide,0.4962195212071592
2375,OMC-1,Bicalutamide,0.6644840616046468
2375,SISO,Bicalutamide,0.5033673835400377
2375,SKG-IIIa,Bicalutamide,0.5383508061384743
2375,SW756,Bicalutamide,0.5291255926063672
2375,SiHa,Bicalutamide,0.5357320923464544
2578,C-33-A,Carmustine,0.6743781750335356
2578,C-4-I,Carmustine,0.7050501747518954
2578,CAL-39,Carmustine,0.6920930402166425
2578,Ca-Ski,Carmustine,0.6882021869722028
2578,DoTc2-4510,Carmustine,0.6829047806909099
2578,HT-3,Carmustine,0.6603223455286316
2578,HeLa,Carmustine,0.6873451633600591
2578,ME-180,Carmustine,0.6763257502562624
2578,MS751,Carmustine,0.7025887683639294
2578,SISO,Carmustine,0.7186584040152011
2578,SKG-IIIa,Carmustine,0.7733893788665008
2578,SW756,Carmustine,0.7710459395878037
2578,SiHa,Carmustine,0.6489929064072006
2907,C-33-A,Cyclophosphamide,0.5992482262508204
2907,C-4-I,Cyclophosphamide,0.604727824041025
2907,CAL-39,Cyclophosphamide,0.6501248430305369
2907,Ca-Ski,Cyclophosphamide,0.5699811229627848
